우리 명소명	우리 지역	후보1 명소명	후보1 핀번호	후보1 주소	유사도	후보2 명소명	후보2 핀번호	유사도2
안동 헛제삿밥까치구멍집	경북	안동 헛제사밥까치구멍집	163	경북 안동시 석주로 203	0.80			
이문설농탕	서울	이문설렁탕	122	서울 종로구 우정국로 38-13	0.50			
외갓집	충북	제천 외갓집	42	충북 제천시 풍양로17길 7	0.67			
신성루	인천	인천 중구 신성루	86	인천 제물포구 우현로 19-14 신성루 (골목에 전용 주차장 보유)	0.67			
신당동떡볶이타운	서울	서울-신당동떡볶이타운	600	서울 중구 청구로 77 청구역 5.6호선	0.88			
애플하우스	서울	서울 동작구 애플하우스	609	서울 동작구 동작대로27다길 29 2층	0.73	서울 잉크 하우스	4544	0.50
남동공단떡볶이	인천	인천 남동구 공단떡볶이	612	인천 남동구 남동서로 226	0.77	인천 과일떡볶이	686	0.40
미성당납작만두 본점	대구	대구 중구 미성당납작만두 본점	10	대구 중구 명덕로 93	0.89			
도날드	부산	부산 영도구 도날드	643	부산 영도구 꿈나무길 267 1층	0.57			
경주신라반상 수리뫼	경북	경주 경주신라반상 수리뫼	420	경북 경주시 내남면 포석로 110-32	0.94	경주 신라제면	1038	0.46
울주 국립대운산치유의숲	울산	국립대운산 치유의숲	1445	울산 울주군 온양읍 대운상대길 225-92	0.89			
문경새재도립공원	경북	문경 문경새재 도립공원	4914	경북 문경시 문경읍 새재로 932	0.93	문경 문경새재도립공원 옛길	7029	0.82
고창읍성	전북	고창 고창읍성	4920	전북 고창군 고창읍 읍내리 125-9	0.86			
사천 한려해상국립공원	경남	한려해상국립공원	2826	경남 사천시 용현면 대밭담로 5-9	0.88	통영 국립공원공단 한려해상생태탐방원	7562	0.48
밀양 구위양지	경남	밀양 위양지	1612	경남 밀양시 부북면	0.67	밀양 위양루	3819	0.44
순천만국가정원	전남광주	순천 순천만국가정원	1600	전남광주 순천시 국가정원1호길 47	0.92	순천 순천만국가정원 테라피가든	6234	0.67
충주 충주호	충북	충주호	1538	충북 충주시 동량면 함암리 361	0.80	충주 충주호 카약	5936	0.75
송도해수욕장	부산	부산송도해수욕장	2848	부산 서구 암남동	0.83	부산 송정 해수욕장	5841	0.60
광명동굴	경기	광명 광명동굴	4619	경기 광명시 가학로85번길 142	0.86	광명역	2783	0.40
제주교래자연휴양림	제주	교래자연휴양림	1357	제주 제주시 조천읍 남조로 2023 교래자연휴양림	0.86	절물자연휴양림	1315	0.57
태백산 국립공원	강원	태백 태백산국립공원	2026	강원 태백시 번영로 59 태백산국립공원	0.92	태백산국립공원천제단	2167	0.80
진안 마이산 탑사	전북	마이산 탑사	3542	전북 진안군 마령면 마이산남로 367 마이산탑사	0.80	진안 마이산	1418	0.80
안동 안동호	경북	안동호	3083	경북 안동시 예안면 천전리	0.80	안동역	2766	0.40
거제식물원	경남	거제 거제식물원	3248	경남 거제시 거제면 거제남서로 3595 거제식물원	0.89			
진주성	경남	진주 진주성	4910	경남 진주시 본성동	0.80	진주역	2775	0.50
백련사	인천	인천 고려산 백련사	6856	인천 강화군 하점면 고려산로61번길 270	0.57			
엑스더스카이	부산	부산엑스더스카이	3560	부산 해운대구 달맞이길 30	0.83			
단양강잔도	충북	단양 단양강 잔도	5737	충북 단양군 적성면 애곡리 산18-15	0.89			
팔공산국립공원	경북	영천 팔공산국립공원	1499	경북 영천시 신녕면 왕산리 산63	0.86	영주 소백산국립공원	1483	0.57
제주 오셜록 티 뮤지엄	제주	제주 오설록 티 뮤지엄	6210	제주 서귀포시 안덕면 신화역사로 15 오설록	0.67	제주 넥슨뮤지엄	4877	0.40
서울 서울역사박물관	서울	서울 역사박물관	4617	서울 종로구 새문안로 55 서울역사박물관	0.80	서울 용산역사박물관	4634	0.67
여수 구항방파제 하멜등대	전남광주	여수 여수구항방파제 하멜등대	7367	전남광주 여수시	0.95	무안 톱머리항방파제등대	9636	0.40
고창 넓을들 학원농장	전북	고창 넓은들 학원농장	1878	전북 고창군 공음면 학원농장길 150	0.75			
YTN 서울타워	서울	N서울타워	9326	서울 용산구 남산공원길 105	0.80			
일산 호수공원	경기	고양 일산호수공원	7167	경기 고양시 일산동구 호수로 731	0.83	고양 일산호수	1591	0.60
시흥 오이도 빨강등대	경기	시흥 오이도 빨간등대	3383	경기 시흥시 오이도로 170	0.75	시흥 오이도	3787	0.67
여수 여수해상 케이블카	전남광주	여수 해상 케이블카	5809	전남광주 여수시 돌산읍 돌산로 3600-1	0.93	목포 해상케이블카	5976	0.67
서울 YTN 서울타워	서울	N서울타워	9326	서울 용산구 남산공원길 105	0.80			
강릉 강릉중앙시장	강원	강릉 중앙시장	4716	강원 강릉시 금성로 21	0.91	강릉중앙시장떡볶이	648	0.71
곶자왈도립공원	제주	제주곶자왈도립공원	1417	제주 서귀포시 대정읍 에듀시티로 178	0.86	환상숲곶자왈공원	1325	0.46
수원 수원팔색길(화성성곽길)	경기	수원 팔색길(화성성곽길)	3741	경기 수원시 팔달구 정조로 776-2	0.95	수원 화성 성곽길	5717	0.63
일산호수공원	경기	고양 일산호수공원	7167	경기 고양시 일산동구 호수로 731	0.83	고양 일산호수	1591	0.60
국립경주박물관	경북	경주 국립경주박물관	4809	경북 경주시 일정로 186 국립경주박물관	0.92	경주 국립경주박물관 어린이박물관	7522	0.71
국립부여박물관	충남	부여 국립부여박물관	4822	충남 부여군 부여읍 금성로 5	0.92	국립공주박물관	4249	0.50
신안 연좌 퍼플섬	전남광주	신안 안좌 퍼플섬	3234	전남광주 신안군 안좌면 소곡두리길 257-35	0.67	신안 퍼플섬	8175	0.60
팔공산 갓바위	경북	경산 팔공산갓바위	8749	경북 경산시 와촌면 갓바위로 681-55	0.83			
부산 부산현대미술관	부산	부산 현대미술관	4828	부산 사하구 낙동남로 1191 부산현대미술관	0.80	부산 부산시립 미술관	4841	0.50
공주 공주산성시장	충남	공주 산성시장	227	충남 공주시 용당길 22 산성시장고객지원센터	0.91	공주 공산성	4909	0.60
양양 양양시장	강원	양양시장	286	강원 양양군 양양읍 남문5길 9	1.00			
순천 순천만습지	전남광주	순천만습지	1400	전남광주 순천시 순천만길 513-25	0.89	순천 순천만습지 갈대숲 탐방로	5712	0.63
대구 시인 이상화 고택	대구	대구 이상화 고택	4661	대구 중구 계산동2가	0.80			
남이섬 스카이라인 짚와이어	경기	가평 남이섬 스카이라인 짚와이어	5957	경기 가평군 가평읍 북한강변로 1024 남이섬짚와이어	0.92			
순창 장류체험관	전북	순창장류체험장	441	전북 순창군 순창읍 민속마을길 55 순창장류체험관	0.83	순창 장류축제	8604	0.55
부산 영도 해녀촌	부산	해녀촌	205	부산 영도구 중리남로 2-35 영도해녀문화전시관 1층	0.67	영도	2686	0.40
제주 애월 해안로	제주	제주 애월 해안도로	6314	제주 제주시 애월읍 구엄리	0.67	하귀애월해안도로	3028	0.55
창원 가로수길	경남	창원 창원가로수길	7205	경남 창원시 성산구 용호로 65	0.91			
예천 천문우주센터	경북	예천 예천천문우주센터	2045	경북 예천군 감천면 충효로 1078 예천천문우주센터	0.93			
인천 어린이과학관	인천	인천 인천어린이과학관	7595	인천 계양구 방축로 21	0.83			
태백 태백산	강원	태백산	1820	강원 태백시 혈동	0.80	태백 태백산 눈 축제	8556	0.67
부산 시민공원	부산	부산 부산시민공원	3290	부산 부산진구 시민공원로 73	0.75	부산 수영강 시민공원	6649	0.67
군산 군산시간여행마을	전북	군산 시간여행 마을	4623	전북 군산시 내항1길 8	0.93			
영도해녀촌	부산	해녀촌	205	부산 영도구 중리남로 2-35 영도해녀문화전시관 1층	0.67	영도	2686	0.40
제주 제주항공우주박물관	제주	제주 항공우주박물관	4848	제주 서귀포시 안덕면 항공우주로 83 제주항공우주박물관	0.86			
강릉 강릉커피거리	강원	강릉 커피거리	7208	강원 강릉시 창해로14번길 20-1	0.91	강릉 커피축제	8528	0.55
여수 여수예술랜드	전남광주	여수 예술랜드	3161	전남광주 여수시 돌산읍 무술목길 142-1	0.91	여수 예술랜드 익스트림 공중그네 스윙	5949	0.48
청도 청도프로방스	경북	청도 프로방스	3143	경북 청도군 화양읍 이슬미로 272-23	0.91	청도 청도읍성	4923	0.40
여수 여수해상케이블카	전남광주	여수 해상 케이블카	5809	전남광주 여수시 돌산읍 돌산로 3600-1	0.93	목포 해상케이블카	5976	0.67
통영 통영케이블카	경남	통영 케이블카	3228	경남 통영시 발개로 205	0.91	하동 하동케이블카	8091	0.50
속초 속초해수욕장	강원	속초해수욕장	1919	강원 속초시 조양동 1450-158	0.91	강릉 송정해수욕장	1939	0.46
정선 정선레일바이크	강원	정선 레일바이크	5931	강원 정선군 여량면 노추산로 745	0.92	춘천 김유정 레일바이크	8160	0.50
올림픽공원 반려견 놀이터	경기	수원 올림픽공원 반려견 놀이터	8153	경기 수원시 권선구 효원로256번길 16	0.91	수원 광교호수공원 반려동물놀이터	8151	0.42
순천만국가정원 테라피가든	전남광주	순천 순천만국가정원 테라피가든	6234	전남광주 순천시 국가정원1호길 152-55 테라피가든	0.96	순천 순천만국가정원	1600	0.67
동의참누리원 영천한의마을	경북	영천 동의참누리원 영천한의마을	7857	경북 영천시 화룡동 128	0.96			
순창 내장산단풍축제	전북	정읍 내장산단풍축제	8570	전북 정읍시 내장산로 936	0.75	순창 내장산국립공원	1438	0.50
마포 하늘공원	서울	하늘공원	7116	서울 마포구 하늘공원로 95	0.75	하늘공원하늘계단	9833	0.55
국립현대미술관 청주	충북	청주 국립현대미술관 청주	4850	충북 청주시 청원구 상당로 314	0.94			
울릉도 나리분지	경북	울릉 나리분지	1451	경북 울릉군 북면 나리	0.73	울릉도	2208	0.50
서귀포 엉또폭포	제주	엉또폭포	3838	제주 서귀포시 강정동	0.67	헤이, 서귀포	7863	0.40
전주향교	전북	전주 전주향교	5492	전북 전주시 완산구 향교길 139 전주향교	0.86	전주돔	9144	0.40
영양 영양국제밤하늘보호공원	경북	영양국제밤하늘보호공원	2036	경북 영양군 수비면 반딧불이로 227	0.95			
주교좌계산대성당	대구	대구 천주교 대구대교구 주교좌계산대성당	4646	대구 중구 서성로 10	0.67	천주교 주교좌 범어대성당	4442	0.50
목포 목포근대역사관 1관	전남광주	목포 근대역사관 1관	4624	전남광주 목포시 영산로29번길 6 목포근대역사관	0.94	목포근대역사관	7449	0.80
부산 비프(BIFF)거리	부산	부산BIFF 거리	1027	부산 중구 구덕로 44 남포지하도상가	0.71			
울릉군 독도	경북	울릉 독도	5013	경북 울릉군 울릉읍 독도안용복길 3	0.57	울릉 독도등대	9610	0.44
해운대 동백섬	부산	부산 동백섬	6616	부산 해운대구 우동 710-1	0.57	해운대	1902	0.57
하동 남해대교	경남	남해대교	3041	경남 하동군 금남면 노량리	0.75	하동 노량대교	9590	0.40
창원시 마창대교	경남	창원 마창대교	3684	경남 창원시 마산합포구	0.73	창원 마창대교~낙동강 자전거길	6367	0.42
여수구항방파제 하멜등대	전남광주	여수 여수구항방파제 하멜등대	7367	전남광주 여수시	0.95	무안 톱머리항방파제등대	9636	0.40
시흥 오이도빨강등대	경기	시흥 오이도 빨간등대	3383	경기 시흥시 오이도로 170	0.75	시흥 오이도	3787	0.67
밀양시문화도시센터 열두달	경남	밀양 밀양시문화도시센터 열두달	7230	경남 밀양시 밀양대로 1908 5호관 1층	0.96			
수원 수원화성	경기	수원 화성	4907	경기 수원시 장안구 영화동 320-2	0.86	수원 화성행궁	2814	0.67
